wavelength  flux  uncertainty 
 0.699161858300  1.040614148099e-23  3.896309062137e-26 
 0.699281990862  1.042447631821e-23  3.879094194413e-26 
 0.699402123424  1.037020947839e-23  3.847799052459e-26 
 0.699522196397  1.042409453087e-23  3.855907399826e-26 
 0.699642328959  1.038203241073e-23  3.841447631612e-26 
 0.699762461521  1.033190173359e-23  3.832126483023e-26 
 0.699882534494  1.035107079878e-23  3.841099470478e-26 
 0.700002667056  1.032517340800e-23  3.977388530505e-26 
 0.700122799618  1.033762396884e-23  3.978066265753e-26 
 0.700242872591  1.035422208917e-23  3.984447760383e-26 
 0.700363005153  1.037022813410e-23  3.964220395309e-26 
 0.700483078126  1.038622368973e-23  3.953412859480e-26 
 0.700603210688  1.027914440801e-23  3.957517609746e-26 
