1405
56150	7331	1481	6097	153005	445	1611	737	3639	897	468	843	477	457	195	73	53
56151	4245	364	6097	151503	150	929	235	2400	529	164	619	257	326	108	21	13
56152	6376	1614	6097	153600	234	1284	685	3493	678	575	854	420	354	108	52	56
56154	5401	4329	6097	151800	326	958	572	2723	820	655	825	372	299	86	11	28
56156	4579	1893	6097	154302	130	719	470	2633	626	512	828	254	201	83	35	26
56157	7417	2148	6097	153002	520	1752	1352	3310	480	448	600	329	275	206	95	203
56158	2579	10649	6097	152000	157	277	688	1274	180	524	294	105	53	15	0	10
56159	4019	710	6097	151504	186	735	392	1915	789	277	609	227	231	99	28	10
56162	7290	2095	6097	151502	315	1421	902	3707	942	885	1151	437	320	158	43	54
56165	3560	1020	6097	151900	202	553	606	1690	507	565	438	187	129	55	6	65
56166	5009	990	6097	151401	456	1195	1038	1972	346	261	300	209	181	115	103	173
56168	5365	1581	6055	201200	258	807	431	2279	1588	635	815	246	223	96	56	33
56169	8784	2395	6097	153101	849	2075	1706	3566	585	555	619	404	381	259	126	235
56171	5874	1217	6097	153003	402	1244	1177	2682	367	593	633	385	277	113	82	81
56172	8613	5748	6097	151402	771	1770	1807	3496	767	963	819	464	379	241	106	149
56173	7426	6683	6097	153300	538	1527	1113	3692	555	471	785	423	307	196	85	159
56175	6757	4360	6097	153401	222	1454	658	3560	860	794	960	532	363	103	53	7
56177	5915	353	6097	153102	542	1658	1120	2289	303	174	276	246	266	192	131	170
56187	5440	7606	6097	153200	516	1171	1068	2410	272	244	454	292	222	144	61	144
56188	3163	1846	6055	201300	78	286	164	1205	1428	457	435	131	70	31	8	0
56189	4566	1029	6055	201100	248	914	367	2377	658	341	673	222	307	94	34	31
56193	13229	1956	6095	253202	1356	3407	1971	5987	506	482	1142	811	899	477	109	184
56194	4396	1857	6097	153403	181	793	487	2166	768	475	615	276	231	79	35	19
56195	4804	692	6097	153404	252	1040	363	2451	696	500	595	303	285	92	70	9
56196	4405	734	6097	153502	148	924	427	2378	526	347	634	301	245	87	50	30
56198	10065	4712	6095	252902	409	2091	752	4432	2379	1244	1498	521	583	226	96	20
56200	10011	1456	6097	150302	830	2175	1660	4698	647	773	936	507	487	292	163	186
56201	5318	1413	6097	151309	292	1255	737	2760	272	274	584	367	385	157	47	9
56202	5356	511	6095	253201	231	1142	375	2953	654	307	769	390	321	134	56	14
56203	5790	388	6097	151307	284	1295	743	2956	511	358	751	410	363	154	8	54
56204	4488	1961	6095	253203	322	1056	658	1753	697	338	507	330	273	100	43	27
56205	5004	847	6097	153501	176	998	477	2877	474	371	709	320	316	104	48	20
56206	5094	3421	6097	151308	180	904	891	2189	927	569	738	296	263	104	56	19
56207	6025	1661	6095	253105	487	1286	1368	2292	590	509	724	457	307	146	85	20
56208	6625	9200	6097	151201	397	1177	955	3302	792	784	898	371	332	152	59	62
56209	5589	4510	6095	253101	287	1170	605	2670	856	589	807	405	252	133	78	0
56210	5439	3105	6097	150202	235	735	507	2777	1182	991	925	335	234	70	32	8
56212	4834	2495	6097	150303	119	520	186	2158	1849	796	1068	224	185	65	13	19
56213	6661	1534	6095	253107	580	1527	1019	3014	519	590	692	405	406	206	99	35
56214	4146	652	6095	252908	272	1146	631	1862	233	289	404	292	230	119	59	31
56215	3730	313	6095	252909	246	956	412	1922	192	115	325	244	326	141	29	18
56216	9914	690	6095	253108	261	928	2403	6039	282	234	411	278	222	126	28	54
56217	4202	226	6097	151306	272	722	710	1993	503	500	598	303	185	103	40	8
56218	5604	3218	6097	151305	473	948	1374	2172	635	828	709	374	277	110	59	22
56219	9124	3695	6055	200600	515	1977	928	4171	1530	763	1044	559	496	198	106	95
56221	3903	445	6095	253106	365	715	978	1685	159	353	477	236	256	84	21	41
56222	6357	234	6095	252910	621	1604	733	3107	289	258	515	399	461	233	55	67
56223	5555	1572	6097	151310	240	1322	1778	2012	200	326	543	277	238	112	13	52
56225	4905	695	6097	151301	328	1005	1022	2232	315	358	516	332	290	136	47	57
56226	6397	850	6055	200702	355	1479	400	3297	863	399	923	318	452	147	21	46
56227	12975	606	6095	252907	1159	3421	1550	6401	442	571	1071	887	920	445	121	139
56228	3698	803	6097	151204	194	644	621	1886	351	403	557	261	179	72	62	0
56229	7349	1961	6097	151311	684	1627	1364	3453	219	505	707	558	534	208	84	19
56230	7822	5288	6097	150606	547	1716	907	4078	572	495	1006	514	509	183	62	39
56231	3645	2226	6095	253000	0	0	701	2797	146	0	0	0	0	0	0	0
56232	5210	699	6097	151203	323	1178	799	2622	286	400	529	338	347	148	69	22
56233	3910	1004	6055	200400	214	623	448	2012	610	469	738	249	144	61	31	5
56234	8980	2382	6095	252308	468	1796	969	3965	1779	630	1160	543	419	231	86	69
56235	8693	2351	6055	200502	613	1724	1509	3793	1053	1013	974	468	400	172	115	90
56236	5566	2426	6097	151100	366	1154	886	2631	527	363	666	295	327	155	50	31
56237	6321	605	6097	150304	403	1269	845	3145	657	631	732	398	308	149	56	97
56238	4945	3532	6055	200501	439	1019	907	2030	549	492	509	258	228	120	93	61
56239	10062	1056	6095	252307	582	2252	861	5328	1037	592	1127	631	657	312	99	49
56240	7611	1155	6055	200701	504	1599	911	3250	1345	768	868	448	368	164	78	103
56241	3493	2278	6041	133000	180	584	350	1947	430	375	521	249	145	70	39	4
56242	10574	2572	6095	252309	610	2645	1317	5274	726	424	967	645	711	349	97	118
