aCO,U,flux_C2H4,flux_CH4,flux_H2
5.817091329374357686e-05,-1.520000000000000018e+00,5.345410101011800627e-08,5.626153027876442606e-08,3.318636595541515189e-05
8.733261623828436962e-05,-1.520000000000000018e+00,8.001921525783918076e-08,8.422185420833717445e-08,3.309042672324958044e-05
1.311133937421564226e-04,-1.520000000000000018e+00,1.196145584037815729e-07,1.258967595047865105e-07,3.294742915194871357e-05
1.968419447286613299e-04,-1.520000000000000018e+00,1.784210612273621880e-07,1.877918017312168464e-07,3.273505096773966972e-05
2.955209235202887964e-04,-1.520000000000000018e+00,2.652980564963645519e-07,2.792316091078269299e-07,3.242129691642121187e-05
4.436687330978615856e-04,-1.520000000000000018e+00,3.926448399677934069e-07,4.132666930170088075e-07,3.196138725779618486e-05
6.660846290809161038e-04,-1.520000000000000018e+00,5.771896638384140072e-07,6.075038796833953894e-07,3.129490833595993085e-05
1.000000000000000021e-03,-1.520000000000000018e+00,8.402363648357764129e-07,8.843658912639642599e-07,3.034492188824349442e-05
1.501310728908174328e-03,-1.520000000000000018e+00,1.206472452564678568e-06,1.269836834551096891e-06,2.902226960373287398e-05
2.253933904734791056e-03,-1.520000000000000018e+00,1.700042590370901057e-06,1.789329459590707852e-06,2.723975364692508391e-05
3.383855153428236544e-03,-1.520000000000000018e+00,2.336816957983117905e-06,2.459547453854132350e-06,2.494005926873603556e-05
5.080218046913023006e-03,-1.520000000000000018e+00,3.113643532298667286e-06,3.277173248812883212e-06,2.213456992016155539e-05
7.626985859023451518e-03,-1.520000000000000018e+00,3.999162429982369914e-06,4.209199928393922865e-06,1.893654101956435658e-05
1.145047569938283452e-02,-1.520000000000000018e+00,4.933791135141728747e-06,5.192915680806864945e-06,1.556115330254807393e-05
1.719072201858574608e-02,-1.520000000000000018e+00,5.843425836474025840e-06,6.150324735014600151e-06,1.227603079250779770e-05
2.580861540418076527e-02,-1.520000000000000018e+00,6.661489319895289672e-06,7.011353216884404067e-06,9.321615399061395800e-06
3.874675120456136379e-02,-1.520000000000000018e+00,7.346555705664654722e-06,7.732399544062017961e-06,6.847515629707124202e-06
5.817091329374357578e-02,-1.520000000000000018e+00,7.886801833789981684e-06,8.301019599794600193e-06,4.896430525030275410e-06
8.733261623828436626e-02,-1.520000000000000018e+00,8.293010824039689775e-06,8.728562837311854168e-06,3.429417123171761876e-06
1.311133937421565809e-01,-1.520000000000000018e+00,8.587623205670812777e-06,9.038648370814717024e-06,2.365432025400718859e-06
1.968419447286615387e-01,-1.520000000000000018e+00,8.795756408753535732e-06,9.257712807143715105e-06,1.613764274013932539e-06
2.955209235202888030e-01,-1.520000000000000018e+00,8.940080633941280305e-06,9.409616994323339689e-06,1.092541017893695514e-06
4.436687330978615895e-01,-1.520000000000000018e+00,9.038869860796200291e-06,9.513594668119814072e-06,7.357662462021054141e-07
6.660846290809168124e-01,-1.520000000000000018e+00,9.105892275498658845e-06,9.584137124973116185e-06,4.937165059120555150e-07
1.000000000000000000e+00,-1.520000000000000018e+00,9.151089121973802614e-06,9.631707726637234648e-06,3.304892482878006877e-07
