aCO,U,flux_C2H4,flux_CH4,flux_H2
2.955209235202887964e-04,-9.200000000000000400e-01,1.035778453865308593e-10,5.591256840746047908e-13,5.138429277359650414e-07
4.436687330978615856e-04,-9.200000000000000400e-01,1.532966621131676414e-10,8.275138447852315539e-13,5.065538508649457181e-07
6.660846290809161038e-04,-9.200000000000000400e-01,2.253467761855926812e-10,1.216449038098651957e-12,4.959908718035747765e-07
1.000000000000000021e-03,-9.200000000000000400e-01,3.280456458462347766e-10,1.770829905343089137e-12,4.809346012644136893e-07
1.501310728908174328e-03,-9.200000000000000400e-01,4.710317851746696979e-10,2.542686306360619687e-12,4.599719752472735074e-07
2.253933904734791056e-03,-9.200000000000000400e-01,6.637317698494621944e-10,3.582904031979287054e-12,4.317210011932938007e-07
3.383855153428236544e-03,-9.200000000000000400e-01,9.123416460983971730e-10,4.924930085974271568e-12,3.952733015459646436e-07
5.080218046913023006e-03,-9.200000000000000400e-01,1.215630798944893612e-09,6.562121460489543124e-12,3.508092918451860167e-07
7.626985859023451518e-03,-9.200000000000000400e-01,1.561355681676519183e-09,8.428386015786710395e-12,3.001239495066819750e-07
1.145047569938283452e-02,-9.200000000000000400e-01,1.926254048424020022e-09,1.039815134701200557e-11,2.466276593605223260e-07
1.719072201858574608e-02,-9.200000000000000400e-01,2.281394239411853062e-09,1.231524087023430799e-11,1.945619763348862657e-07
2.580861540418076527e-02,-9.200000000000000400e-01,2.600783134005341571e-09,1.403934058971580539e-11,1.477376478871309699e-07
3.874675120456136379e-02,-9.200000000000000400e-01,2.868247212415207821e-09,1.548314389773235870e-11,1.085258090679390143e-07
5.817091329374357578e-02,-9.200000000000000400e-01,3.079170468577107952e-09,1.662173303760745496e-11,7.760319406479284473e-08
8.733261623828436626e-02,-9.200000000000000400e-01,3.237762855352770812e-09,1.747783384192576630e-11,5.435259852624504103e-08
1.311133937421565809e-01,-9.200000000000000400e-01,3.352785619245367562e-09,1.809874057449584474e-11,3.748957114287105140e-08
1.968419447286615387e-01,-9.200000000000000400e-01,3.434045124171296386e-09,1.853738916879439165e-11,2.557644012121633885e-08
2.955209235202888030e-01,-9.200000000000000400e-01,3.490392285094549354e-09,1.884155792978092295e-11,1.731560821744254104e-08
4.436687330978615895e-01,-9.200000000000000400e-01,3.528961641388247759e-09,1.904975996025910772e-11,1.166110914848384929e-08
6.660846290809168124e-01,-9.200000000000000400e-01,3.555128577547383208e-09,1.919101223313189214e-11,7.824879292257042033e-09
1.000000000000000000e+00,-9.200000000000000400e-01,3.572774360701566870e-09,1.928626629581582184e-11,5.237901597929263734e-09
0.000000000000000000e+00,-1.040000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.211933273246753073e-06
9.999999999999999547e-07,-1.040000000000000036e+00,1.892459855958938158e-12,3.086879250011825811e-14,1.211812092037549409e-06
