Reference,Set,SetID,Mineral,Mineral_formula,Mineral_source,Temp,Electrolyte1,Electrolyte1_val,Electrolyte1_SD,Electrolyte1_units,Electrolyte2,Electrolyte2_val,Electrolyte2_SD,Electrolyte2_units,Electrolyte3,Electrolyte3_val,Electrolyte3_SD,Electrolyte3_units,Electrolyte4,Electrolyte4_val,Electrolyte4_SD,Electrolyte4_units,Electrolyte5,Electrolyte5_val,Electrolyte5_SD,Electrolyte5_units,Electrolyte6,Electrolyte6_val,Electrolyte6_SD,Electrolyte6_units,Electrolyte7,Electrolyte7_val,Electrolyte7_SD,Electrolyte7_units,pH,pH_SD,Sorbate,Sorbate_val,Sorbate_SD,Sorbate_units,Aq_val,Aq_SD,Aq_units,Sorbed_val,Sorbed_SD,Sorbed_units,SurfCharge_val,SurfCharge_SD,SurfCharge_units,Mineral_val,Mineral_SD,Mineral_units,MineralSA,MineralSA_SD,MineralSA_units,Mineralsites,Mineralsites_SD,Mineralsites_units,CEC,CEC_SD,CEC_units,Gas1,Gas1_val,Gas1_SD,Gas1_units,Gas2,Gas2_val,Gas2_SD,Gas2_units,Gas3,Gas3_val,Gas3_SD,Gas3_units,X_axis,X_val,X_SD,X_units,Y_axis,Y_val,Y_SD,Y_units
nf10,nf10_f2aa,6,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05364,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.000163469,1.63E-05,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,7,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.18008,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.00015373,1.54E-05,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,8,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.35393,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.000143378,1.43E-05,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,9,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52251,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.000133027,1.33E-05,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,10,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71216,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.000122065,1.22E-05,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,11,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91236,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.000110495,1.10E-05,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,12,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.13362,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,9.83E-05,9.83E-06,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,13,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.34962,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,8.67E-05,8.67E-06,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,14,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6183,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,7.46E-05,7.46E-06,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,15,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87117,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,6.24E-05,6.24E-06,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,16,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.13458,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,4.96E-05,4.96E-06,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,17,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34004,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,3.80E-05,3.80E-06,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,18,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.54023,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,2.58E-05,2.58E-06,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nf10,nf10_f2aa,19,ferrihydrite,Fe(OH)3,synthetic,NA,Na(+1),0.01,5.00E-04,mol/L,Cl(-1),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74042,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,1.37E-05,1.37E-06,mol/L,0.21,0.021,g/L,600,60,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
