trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,lambda1_metaweight
180,0.7163913807058646,PRUNED,0:00:00.870636,0.004657415771460249,21,46,57,38,0.6682015766236244
181,0.7747338785864841,PRUNED,0:00:00.531152,0.0033891347460800877,37,48,33,33,0.5723275955647827
182,0.3048589095172022,PRUNED,0:00:04.861315,0.004282174766537413,10,45,54,31,0.5243186962374126
183,0.5245852439484119,PRUNED,0:00:05.535660,0.006846758772224611,15,31,55,47,1.3809709874943077
184,0.3509092141850656,PRUNED,0:00:01.367207,0.0033003909458618865,27,47,53,42,0.8512652370370077
185,0.004197714740997476,COMPLETE,0:00:55.517767,0.004321770792811991,9,44,32,32,1.3405388011564168
186,0.004420423320957967,COMPLETE,0:00:55.941599,0.007065924333567152,9,33,32,43,0.5612674336682946
187,0.24588202088050645,PRUNED,0:00:23.579084,0.002965293892309444,4,33,35,43,0.5637871560736246
188,0.004313853728544243,COMPLETE,0:00:38.483936,0.004241826487108234,14,34,37,43,0.5704066202364156
189,0.38553155754126756,PRUNED,0:00:02.463670,0.010508434579319784,14,33,37,41,0.5506394170257706
190,0.2505192970799034,PRUNED,0:00:12.339130,0.00647981751568265,8,31,35,38,0.5785521230283782
191,0.1907680378192001,PRUNED,0:00:19.135964,0.0040721042062688,17,34,37,39,0.5157776905237463
192,0.936095270706492,PRUNED,0:00:03.574423,0.01501928432758598,9,32,34,36,0.6087692152338862
193,0.34914294511794003,PRUNED,0:00:02.434873,0.014277658202476845,14,30,34,32,0.5175486243668348
194,0.2765132504165488,PRUNED,0:00:04.026875,0.0076761725414319715,17,32,34,39,0.5053242150540287
195,0.004184702660656642,COMPLETE,0:00:32.994726,0.007380528182230701,17,31,31,39,0.6181304651941449
196,0.004024683541170208,COMPLETE,0:00:30.730436,0.006713900824869038,18,28,31,40,0.5152231839287357
197,0.005290677562334096,COMPLETE,0:00:29.922955,0.006831570740165537,18,34,31,33,0.5498831815243717
198,1.1922483645952664,PRUNED,0:00:00.270820,0.0033344931871225458,100,31,36,41,1.0509914538859748
199,0.004201294256668857,COMPLETE,0:00:33.982081,0.005786830414850419,16,28,37,33,0.5652557407730805
200,0.21401634213386797,PRUNED,0:00:13.111175,0.005976870506742252,14,29,32,40,0.5518103682436853
201,0.252614805370495,PRUNED,0:00:21.010727,0.005799975269674297,4,24,33,40,0.5558117977079943
202,0.005488627671550131,COMPLETE,0:01:01.144663,0.0058447195813423145,8,21,31,33,1.342310129487468
203,0.2966798872618494,PRUNED,0:00:11.945947,0.005837423693693706,4,29,30,33,1.3398823345699755
204,0.004388157476353134,COMPLETE,0:00:29.934743,0.005441169739659138,19,35,31,33,1.349795210530968
205,0.3256638996618548,PRUNED,0:00:07.773915,0.009890063002827547,4,31,30,33,0.5333867537586824
206,0.4755727536280455,PRUNED,0:00:07.554677,0.009392458911370789,4,31,29,32,0.5320526251749035
