trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,w_dx,w_dz
646,1.1205539320053075,PRUNED,0:00:00.599668,0.0021431263808577425,20,25,153,29,0.1309470579197284,1.272698964067907
647,0.9971618750932241,PRUNED,0:00:00.770592,0.00266842675671004,15,26,146,30,0.19072240761992545,1.2797773971765698
648,0.4364657991802914,PRUNED,0:00:02.093667,0.0017291828625846002,10,43,147,55,0.19083135113809735,1.1953856911610876
649,0.3230493845626732,PRUNED,0:00:06.346290,0.0018101156016411461,8,41,146,50,0.1924111621561344,1.2004691036139652
650,1.0130113192895212,PRUNED,0:00:01.093790,0.0018374918315931187,10,33,161,50,0.18600617638166148,1.204140285344427
651,0.49312668525979586,PRUNED,0:00:02.716552,0.004031236828361235,8,142,148,56,0.12229579515921271,1.1961140766309684
652,1.2664668286087537,PRUNED,0:00:00.463834,0.0042473018663360404,30,133,164,26,0.28709511943135113,1.2429277429077077
653,0.003964301399950215,COMPLETE,0:00:41.125315,0.0030348411572892766,8,141,154,40,0.12789450188986579,1.1729901013704414
654,0.4483161027996968,PRUNED,0:00:01.225722,0.0036964169836929536,19,39,150,71,0.1261609371213318,1.0276688332850559
655,1.0169557266163103,PRUNED,0:00:00.681819,0.003457599598718007,18,34,153,27,0.24364540414470937,1.029033402753473
656,0.005281412294653164,COMPLETE,0:00:22.814053,0.0059680199476118394,15,35,153,28,0.10103873747946723,1.107562212899995
657,0.0044242843664066825,COMPLETE,0:00:24.485267,0.0030251694984232097,14,30,159,29,0.17319363590726056,1.0992984427961756
658,0.2533443594386555,PRUNED,0:00:11.446999,0.0062952736346125315,14,31,160,28,0.10174508863667615,1.0924337223825702
659,1.0480837797829015,PRUNED,0:00:00.528354,0.00526265763942512,24,31,155,29,0.220801683439064,0.5714139351337882
660,0.2713266120038249,PRUNED,0:00:08.601720,0.006442939863322514,15,29,160,25,0.1043311019946572,1.0665183134807137
661,1.8516966104507446,PRUNED,0:00:00.193458,0.004582425971031798,169,35,155,27,0.1773641368338759,1.1041588796802309
662,0.005069172000124145,COMPLETE,0:00:26.114584,0.0029039522066024123,13,73,159,24,0.1306517926201706,1.1134346759488498
663,1.4765881323500682,PRUNED,0:00:00.570138,0.0028303713689014644,26,25,164,24,0.2813447158854113,1.1467277974953332
