CAD,mean,su
-236.75,0.217017956,0.030903098
-236.5,0.217015448,0.030901678
-236.25,0.217057558,0.030902178
-236,0.217153363,0.030902713
-235.75,0.2172902,0.030902709
-235.5,0.217438027,0.030904343
-235.25,0.217561299,0.030910923
-235,0.217633213,0.030896113
-234.75,0.21764621,0.030903076
-234.5,0.217614492,0.030910864
-234.25,0.217568083,0.030903291
-234,0.217541522,0.030904131
-233.75,0.217562076,0.030905704
-233.5,0.21764189,0.030901846
-233.25,0.217776265,0.030897888
-233,0.21794765,0.030917689
-232.75,0.218132947,0.030895891
-232.5,0.218311025,0.030903462
-232.25,0.218467836,0.030906061
-232,0.218597896,0.030897644
-231.75,0.218702533,0.030912651
-231.5,0.218786591,0.030905861
-231.25,0.218855709,0.030904492
-231,0.218915575,0.030899254
-230.75,0.218973015,0.030914425
-230.5,0.219037332,0.030903917
-230.25,0.219119838,0.030909641
-230,0.21923062,0.030899041
-229.75,0.219373703,0.030913893
-229.5,0.21954354,0.030898642
-229.25,0.21972582,0.030916812
-229,0.219903482,0.030908158
-228.75,0.220065528,0.030906509
-228.5,0.220213809,0.030916112
-228.25,0.220363198,0.030901882
-228,0.220533777,0.030908081
-227.75,0.220738278,0.03089959
-227.5,0.220971287,0.030909737
-227.25,0.221206621,0.030917485
-227,0.221405425,0.030911488
-226.75,0.221532054,0.030911244
-226.5,0.221570604,0.030911046
-226.25,0.221534371,0.030901782
-226,0.221463829,0.030916123
-225.75,0.221413945,0.030902616
-225.5,0.2214362,0.030917181
-225.25,0.221562307,0.030903077
-225,0.221795214,0.03091176
-224.75,0.222109614,0.030911016
-224.5,0.222460802,0.030918328
-224.25,0.222798484,0.03090354
-224,0.223081336,0.030921368
-223.75,0.22328834,0.030905505
-223.5,0.223423813,0.030911565
-223.25,0.223514503,0.030921516
-223,0.223599347,0.030911944
-222.75,0.223715019,0.030906368
-222.5,0.223882445,0.030922216
-222.25,0.224099653,0.030905402
-222,0.224344068,0.030913087
-221.75,0.224583273,0.030921849
-221.5,0.224789267,0.03090722
-221.25,0.224949492,0.030923286
-221,0.225069655,0.030914402
-220.75,0.225167758,0.030907348
-220.5,0.225263437,0.030914351
-220.25,0.225368881,0.030916787
-220,0.225486072,0.030917074
-219.75,0.225610757,0.030923967
-219.5,0.22573926,0.030908315
-219.25,0.225872751,0.030916343
-219,0.226015834,0.030910394
-218.75,0.226170855,0.030930104
-218.5,0.226332882,0.030908633
-218.25,0.226490399,0.030916644
-218,0.226632936,0.030917684
-217.75,0.226761581,0.030918929
-217.5,0.226895152,0.030915689
-217.25,0.227066171,0.030919181
-217,0.227306405,0.030918347
-216.75,0.227628335,0.030919608
-216.5,0.228012472,0.030927936
-216.25,0.228408466,0.030910618
-216,0.228751252,0.030921777
-215.75,0.228985659,0.030922502
-215.5,0.22908832,0.030921483
-215.25,0.229076872,0.030921675
-215,0.229002631,0.030919303
-214.75,0.228930637,0.03092106
-214.5,0.228916272,0.030914157
-214.25,0.228988079,0.030929297
-214,0.229142423,0.030920469
-213.75,0.22934988,0.030922796
-213.5,0.229568729,0.030921857
-213.25,0.229759514,0.030920605
-213,0.229896018,0.030923207
-212.75,0.229970681,0.030921777
-212.5,0.229994585,0.030923284
-212.25,0.22999312,0.030914796
-212,0.229998536,0.030928849
-211.75,0.230040779,0.030914776
-211.5,0.230138664,0.030931309
-211.25,0.230294066,0.030920261
-211,0.230491562,0.030915747
-210.75,0.230704228,0.030932412
-210.5,0.230903663,0.030924403
-210.25,0.231070122,0.030923804
-210,0.231198354,0.030917941
-209.75,0.231296828,0.030930888
-209.5,0.231381328,0.030923423
-209.25,0.231466686,0.030924337
-209,0.231560899,0.030919019
-208.75,0.231664026,0.030934448
-208.5,0.23177119,0.030918089
-208.25,0.231876857,0.030924632
-208,0.231977456,0.030933444
-207.75,0.23207128,0.030925087
-207.5,0.232156875,0.030926428
-207.25,0.232232223,0.030918148
-207,0.232296142,0.030920155
-206.75,0.2323513,0.030940449
-206.5,0.23240655,0.030918773
-206.25,0.232476274,0.030943938
-206,0.232576028,0.030919327
-205.75,0.232716133,0.030925835
-205.5,0.232896213,0.030919456
-205.25,0.233103431,0.03092719
-205,0.233315379,0.03093035
-204.75,0.233506466,0.03092568
-204.5,0.23365531,0.030935429
-204.25,0.233750517,0.030919441
-204,0.23379326,0.030929463
-203.75,0.23379627,0.030926292
-203.5,0.233779945,0.030928409
-203.25,0.233766851,0.030935264
-203,0.233776137,0.030920586
-202.75,0.233819348,0.030935751
-202.5,0.233898736,0.030928967
-202.25,0.234008393,0.030921321
-202,0.234137442,0.030927898
-201.75,0.234273719,0.030939678
-201.5,0.23440624,0.030921812
-201.25,0.234525661,0.030929553
-201,0.234623349,0.030928693
-200.75,0.234690778,0.030937978
-200.5,0.234720927,0.030921326
-200.25,0.234711928,0.030930193
-200,0.23467126,0.030928747
-199.75,0.234617513,0.030928827
-199.5,0.234577259,0.030930717
-199.25,0.23457692,0.030930145
-199,0.23463253,0.030927753
-198.75,0.234742236,0.030938338
-198.5,0.234885781,0.03092134
-198.25,0.235032159,0.03093014
-198,0.235152497,0.030929662
-197.75,0.235232271,0.030929868
-197.5,0.235276937,0.030929166
-197.25,0.23530817,0.030939672
-197,0.235352546,0.030929536
-196.75,0.235428282,0.030921671
-196.5,0.235536564,0.030930081
-196.25,0.235661544,0.030929999
-196,0.235778699,0.030922587
-195.75,0.235867191,0.03093811
-195.5,0.235920142,0.030931693
-195.25,0.235948067,0.030930526
-195,0.235974157,0.030931549
-194.75,0.236023884,0.030931732
-194.5,0.23611371,0.030940017
-194.25,0.236243712,0.030922716
-194,0.236396966,0.030931631
-193.75,0.23654564,0.030931919
-193.5,0.23666113,0.030931034
-193.25,0.236724287,0.03093375
-193,0.236732025,0.030938631
-192.75,0.236698196,0.030938224
-192.5,0.236648831,0.030932704
-192.25,0.236613775,0.030931529
-192,0.236617747,0.030931392
-191.75,0.236673633,0.030931922
-191.5,0.236779663,0.030932474
-191.25,0.236920707,0.030931687
-191,0.237072867,0.030932323
-190.75,0.237209926,0.030931201
-190.5,0.237310133,0.030925251
-190.25,0.237361726,0.030940686
-190,0.237365729,0.03093291
-189.75,0.237335059,0.03093235
-189.5,0.237290078,0.03092631
-189.25,0.237252154,0.03094131
-189,0.237237786,0.030934032
-188.75,0.237255592,0.030933096
-188.5,0.237306839,0.030924722
-188.25,0.237388127,0.030933737
-188,0.237493688,0.030950357
-187.75,0.23761551,0.030933322
-187.5,0.237741784,0.030932906
-187.25,0.23785629,0.030917839
-187,0.237941588,0.030950956
-186.75,0.237986479,0.030918929
-186.5,0.237994597,0.03094291
-186.25,0.237988526,0.030935663
-186,0.238004793,0.030926105
-185.75,0.238079537,0.03094138
-185.5,0.238230348,0.03092625
-185.25,0.238443397,0.030942652
-185,0.238673739,0.030944415
-184.75,0.238860878,0.030928125
-184.5,0.238953804,0.030935366
-184.25,0.23893425,0.030928757
-184,0.23882679,0.030944505
-183.75,0.238690187,0.030935413
-183.5,0.238593262,0.030935484
-183.25,0.238586134,0.030935078
-183,0.238679993,0.03093446
-182.75,0.238844525,0.030944182
-182.5,0.239023668,0.030927729
-182.25,0.239161759,0.030936109
-182,0.239227578,0.030935598
-181.75,0.23922546,0.030937056
-181.5,0.239189348,0.030935279
-181.25,0.239164022,0.030935575
-181,0.239183447,0.030934104
-180.75,0.239256667,0.030929327
-180.5,0.239367074,0.00360008
-180.25,0.239483812,0.003600097
-180,0.23957831,0.003600067
