trial_number,value,state,duration,lr,batch_size,lambda1_metaweight
912,0.6921644495924314,PRUNED,0:00:00.625667,0.005909922109251867,126,1.3237926934325428
913,0.6381772638782442,PRUNED,0:00:00.740217,0.004856465074818684,106,0.9035320587713193
914,0.715733560760623,PRUNED,0:00:00.528306,0.009379567892775519,185,0.903181790067205
915,1.0173224210739136,PRUNED,0:00:00.541284,0.004355863334194739,186,0.907281690650247
916,0.14987883898946974,PRUNED,0:00:01.218201,0.04690559722456451,140,1.3734826853360333
917,1.05612837690026,PRUNED,0:00:00.635547,0.002536408645883787,141,1.3693190663949815
918,0.002851046982196047,COMPLETE,0:00:20.525817,0.014998561601193698,140,1.1771142015040525
919,0.5252305268176964,PRUNED,0:00:00.663366,0.016175011804609257,135,1.2460365327318035
920,0.09178569676800513,PRUNED,0:00:01.232133,0.01790025690378877,133,1.23265083706767
921,0.7453207863033364,PRUNED,0:00:00.536026,0.007576660803087719,174,0.619293703081193
922,0.08796636765269009,PRUNED,0:00:01.192726,0.019795039155728257,128,1.4813682284964576
923,0.0669152968061658,PRUNED,0:00:01.236188,0.013397498523766217,121,1.2964128224808023
924,0.002820631849747882,COMPLETE,0:00:21.857642,0.013431812809324496,92,1.1765374099838206
925,1.0238461719270338,PRUNED,0:00:00.549827,0.0035706677404892468,167,1.1754984838356943
926,0.09884656266552475,PRUNED,0:00:01.492674,0.007743065022947721,93,1.3283520024424524
927,0.7145209536724484,PRUNED,0:00:00.459557,0.00983844005922141,195,1.3469015218432345
928,0.8281207174062729,PRUNED,0:00:00.461468,0.0063019907325535165,181,1.3133967114971197
929,1.2622077076192846,PRUNED,0:00:00.664054,0.0007898377930798111,101,1.292446172129013
930,1.1495339654959165,PRUNED,0:00:00.540402,0.0019350661517075585,146,1.2148925304348515
