trial_number,value,state,duration,lr,batch_size
86,0.13420607149600983,PRUNED,0:00:04.417611,0.0019538616657788,19
87,0.07171231508255005,COMPLETE,0:00:18.318978,0.0037631996076534177,15
88,0.13258467614650726,PRUNED,0:00:07.552787,0.0013693550044871139,10
89,0.1727457195520401,PRUNED,0:00:05.612704,0.007862973358447805,15
90,0.21561896800994873,PRUNED,0:00:04.197925,0.0038721260515370056,20
91,0.2788012623786926,PRUNED,0:00:05.735169,0.0027886572629948416,14
92,0.10727237164974213,PRUNED,0:00:09.436689,0.005641284401838186,8
93,0.08596053719520569,PRUNED,0:00:06.092038,0.0032855882517489267,29
94,3.5695974826812744,PRUNED,0:00:03.873229,8.654009018539212e-06,22
95,0.2601379156112671,PRUNED,0:00:04.933620,0.0051642152609823015,18
96,0.25814151763916016,PRUNED,0:00:03.577697,0.0018264531194361576,24
97,0.3174358308315277,PRUNED,0:00:02.749502,0.004266294157449977,33
98,0.15439927577972412,PRUNED,0:00:06.145039,0.0006639601574267569,13
99,0.2000957429409027,PRUNED,0:00:05.149220,0.0025959261057214417,16
100,0.11612069606781006,PRUNED,0:00:03.346927,0.006880670582757094,26
101,0.10794849693775177,PRUNED,0:00:07.178388,0.005875215437581501,11
102,0.1897449940443039,PRUNED,0:00:06.327280,0.008521877127787604,12
103,0.09527494758367538,PRUNED,0:00:09.966406,0.005350527082907441,17
104,0.14643916487693787,PRUNED,0:00:01.432427,0.0013094622616949595,76
105,0.0671437606215477,COMPLETE,0:00:25.453606,0.0036200728340191534,10
106,0.06491384655237198,COMPLETE,0:00:25.207856,0.0036700604064222055,10
107,0.11319306492805481,PRUNED,0:00:09.517504,0.0036451471898658796,8
108,0.11208415776491165,PRUNED,0:00:07.507291,0.004217239617748809,10
109,0.06453870981931686,COMPLETE,0:00:19.407517,0.0022551769891025774,14
110,0.10975414514541626,PRUNED,0:00:05.701264,0.0015736782345631465,14
111,0.09187733381986618,PRUNED,0:00:06.941025,0.0023246541826173178,21
112,0.09063733369112015,PRUNED,0:00:09.281120,0.0032393273218171066,18
113,0.06580843776464462,COMPLETE,0:00:25.432983,0.001972472104281567,10
114,3.6179444789886475,PRUNED,0:00:07.500705,1.1364205911678572e-06,10
115,0.10843086987733841,PRUNED,0:00:06.195422,0.0018047625071240072,13
116,0.13655436038970947,PRUNED,0:00:07.485885,0.002110053835461238,10
117,0.14117328822612762,PRUNED,0:00:09.511641,0.0010784052682286046,8
118,0.24152347445487976,PRUNED,0:00:05.352096,0.000846805373653349,15
119,0.12039215862751007,PRUNED,0:00:06.224164,0.0030198392801390832,13
120,2.49936580657959,PRUNED,0:00:04.877478,3.042017931482899e-05,17
121,0.1792982518672943,PRUNED,0:00:04.212475,0.006892365802452854,20
122,0.07403261959552765,COMPLETE,0:00:18.041805,0.004686559997748397,15
123,0.10759711265563965,PRUNED,0:00:07.217482,0.003749135142241087,11
124,0.07014453411102295,COMPLETE,0:00:15.597121,0.0022932967254079414,18
125,0.18089227378368378,PRUNED,0:00:09.469678,0.0015220431329913751,8
126,0.10544297099113464,PRUNED,0:00:04.634825,0.002263493386079755,18
127,0.13137157261371613,PRUNED,0:00:03.885770,0.001265240809976798,22
128,0.06629996746778488,COMPLETE,0:00:21.634495,0.0027593922599842254,12
129,0.10925137996673584,PRUNED,0:00:06.336044,0.00266085287762133,12
130,2.353389263153076,PRUNED,0:00:07.707874,0.0020559127711643342,10
131,0.15942370891571045,PRUNED,0:00:05.684841,0.0009846270783418379,14
132,0.11393480747938156,PRUNED,0:00:04.935332,0.003106771380483717,17
133,0.1430034190416336,PRUNED,0:00:09.535174,0.0018892377839503996,8
134,0.21637076139450073,PRUNED,0:00:05.893227,0.004028986547292054,13
135,0.1793021261692047,PRUNED,0:00:04.453785,0.002629004438045873,20
136,0.1030483990907669,PRUNED,0:00:05.345017,0.001606850756661306,15
137,0.09114938229322433,PRUNED,0:00:10.825826,0.003373512924796341,12
138,0.1002546027302742,PRUNED,0:00:10.019934,0.004751592615903383,10
139,0.12099995464086533,PRUNED,0:00:05.426695,0.009986598190604412,16
140,3.1713030338287354,PRUNED,0:00:01.083781,0.00012134193251798494,115
141,0.1138698160648346,PRUNED,0:00:05.903552,0.006166732129279653,19
142,0.09997136890888214,PRUNED,0:00:07.069409,0.00737785392105717,16
