aCO2,U,flux_CO,flux_H2,flux_HCOO
1.400000000000000133e-01,-8.000000000000000444e-01,3.054732084624057533e-07,1.363719680635739932e-07,8.400513232716158744e-07
1.600000000000000033e-01,-8.000000000000000444e-01,3.158634536482018655e-07,1.233841615813288926e-07,8.686244975325550905e-07
1.800000000000000211e-01,-8.000000000000000444e-01,3.244466996712508071e-07,1.126551040525177024e-07,8.922284240959397063e-07
2.000000000000000111e-01,-8.000000000000000444e-01,3.316566263306119773e-07,1.036426957283162264e-07,9.120557224091828980e-07
2.999999999999999889e-01,-8.000000000000000444e-01,3.553463853542270921e-07,7.403049694879727997e-08,9.772025597241246621e-07
3.999999999999999667e-01,-8.000000000000000444e-01,3.685073625895688343e-07,5.757927540462010223e-08,1.013395247121314308e-06
5.000000000000000000e-01,-8.000000000000000444e-01,3.768825299211499045e-07,4.711031624014376453e-08,1.036426957283162264e-06
5.999999999999999778e-01,-8.000000000000000444e-01,3.826807226891675603e-07,3.986257528012166829e-08,1.052371987395210963e-06
6.999999999999999556e-01,-8.000000000000000444e-01,3.869327307190472098e-07,3.454756524277213281e-08,1.064065009477380065e-06
7.999999999999999334e-01,-8.000000000000000444e-01,3.901842662713081277e-07,3.048314580244596567e-08,1.073006732246097589e-06
8.999999999999999112e-01,-8.000000000000000444e-01,3.927512680230930433e-07,2.727439361271483107e-08,1.080065987063505882e-06
1.000000000000000000e+00,-8.000000000000000444e-01,3.948293170602523187e-07,2.467683231626579970e-08,1.085780621915694022e-06
0.000000000000000000e+00,-9.200000000000000400e-01,0.000000000000000000e+00,7.843478396892218700e-07,0.000000000000000000e+00
1.000000000000000048e-04,-9.200000000000000400e-01,1.931399416977828290e-09,7.827822751389439158e-07,3.927178814521585899e-09
1.778279410038922698e-04,-9.200000000000000400e-01,3.429240655305600803e-09,7.815681466039257311e-07,6.972789332454722970e-09
3.162277660168379394e-04,-9.200000000000000400e-01,6.081374482292616848e-09,7.794183651213257424e-07,1.236546144732832498e-08
5.623413251903490971e-04,-9.200000000000000400e-01,1.076174372574224286e-08,7.756245252219528700e-07,2.188221224234256341e-08
1.000000000000000021e-03,-9.200000000000000400e-01,1.897315897854690368e-08,7.689684702835507823e-07,3.857875658971204641e-08
1.778279410038922752e-03,-9.200000000000000400e-01,3.323243829860790315e-08,7.574101038370446888e-07,6.757262454050276640e-08
3.162277660168379394e-03,-9.200000000000000400e-01,5.755807257497192833e-08,7.376920950443884038e-07,1.170347475691096425e-07
5.623413251903490971e-03,-9.200000000000000400e-01,9.782552484705421483e-08,7.050518781876268638e-07,1.989119005223436284e-07
1.000000000000000021e-02,-9.200000000000000400e-01,1.612718513176486630e-07,6.536231997410182603e-07,3.279194310125523812e-07
2.000000000000000042e-02,-9.200000000000000400e-01,2.764660308302548509e-07,5.602484569208727945e-07,5.621475960215183981e-07
4.000000000000000777e-02,-9.200000000000000400e-01,4.300582701803965230e-07,4.357487998273455774e-07,8.744518160334731225e-07
6.000000000000001166e-02,-9.200000000000000400e-01,5.277987861304865817e-07,3.565217453132825960e-07,1.073190865131989919e-06
8.000000000000001554e-02,-9.200000000000000400e-01,5.954652971728568300e-07,3.016722460343159735e-07,1.210779437584809085e-06
1.000000000000000194e-01,-9.200000000000000400e-01,6.450874052705947580e-07,2.614492798964072723e-07,1.311677724050209737e-06
1.200000000000000233e-01,-9.200000000000000400e-01,6.830337232276883867e-07,2.306905410850653088e-07,1.388835237229633565e-06
1.400000000000000133e-01,-9.200000000000000400e-01,7.129913426674994750e-07,2.064073262340056842e-07,1.449749063423915913e-06
1.600000000000000033e-01,-9.200000000000000400e-01,7.372427488806796025e-07,1.867494856402909580e-07,1.499060256057382254e-06
1.800000000000000211e-01,-9.200000000000000400e-01,7.572765192306979871e-07,1.705103999324395979e-07,1.539795589102419674e-06
2.000000000000000111e-01,-9.200000000000000400e-01,7.741048863247136461e-07,1.568695679378443475e-07,1.574013268860251472e-06
2.999999999999999889e-01,-9.200000000000000400e-01,8.293980924907646587e-07,1.120496913841745113e-07,1.686442788064554982e-06
3.999999999999999667e-01,-9.200000000000000400e-01,8.601165403607930460e-07,8.714975996546904666e-08,1.748903632066946245e-06
5.000000000000000000e-01,-9.200000000000000400e-01,8.796646435508108989e-07,7.130434906265655890e-08,1.788651441886649160e-06
5.999999999999999778e-01,-9.200000000000000400e-01,8.931979457592848216e-07,6.033444920686327676e-08,1.816169156377212993e-06
6.999999999999999556e-01,-9.200000000000000400e-01,9.031223673788324283e-07,5.228985597928152858e-08,1.836348813670292996e-06
7.999999999999999334e-01,-9.200000000000000400e-01,9.107116309702513235e-07,4.613810821701306441e-08,1.851780316306178016e-06
8.999999999999999112e-01,-9.200000000000000400e-01,9.167031548582134141e-07,4.128146524680119110e-08,1.863963081545034443e-06
1.000000000000000000e+00,-9.200000000000000400e-01,9.215534361008495031e-07,3.734989712805822998e-08,1.873825320071727711e-06
