trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,w_dx,w_dz
70,0.004747124562124094,COMPLETE,0:00:12.631509,0.0166578903485011,34,131,35,30,0.42800597527002515,1.4584673016531475
71,0.0059706764357394405,COMPLETE,0:00:08.361907,0.0166658446356687,63,136,38,31,0.6080749882112857,1.3913273582600494
72,0.4319281444405064,PRUNED,0:00:08.212246,0.014233422661514037,36,129,37,64,0.6999271494896886,1.3879301997679452
73,0.005279067877876073,COMPLETE,0:00:08.291335,0.01560820305015723,63,121,38,66,0.2333957542236511,1.6609989697004317
74,0.47153853110291744,PRUNED,0:00:07.219689,0.016241464596867664,27,61,40,66,0.7276480492665299,1.7068811203688605
75,1.200024508105384,PRUNED,0:00:01.203885,0.010974202108899997,33,130,52,66,0.728397059206873,1.6972239859148206
76,3.7109026764378403,PRUNED,0:00:00.177009,0.003552715686144464,181,83,53,52,1.297603852725553,1.1783062796505237
77,1.2420130679101655,PRUNED,0:00:00.460287,0.0034221805898098476,181,153,53,45,0.216414147385736,0.34619552618689253
78,0.0052858675695783555,COMPLETE,0:00:05.019387,0.01058177678617824,230,152,45,44,0.22684363323659895,0.8873530429687498
79,0.5822141296588458,PRUNED,0:00:01.117328,0.009527651642766031,236,122,46,29,0.3013660419680166,0.8807992261682016
80,0.0051887805093647965,COMPLETE,0:00:10.102347,0.010003569672395277,45,121,45,69,0.10890036072125832,1.662748884785424
81,1.4509997627522686,PRUNED,0:00:00.782164,0.05929336731009449,59,121,46,58,0.23744572284339918,1.4608763085739775
82,0.005216675917384202,COMPLETE,0:00:08.367264,0.001355297270730154,61,49,44,43,0.2462118828871689,1.679675826456315
83,0.005071397017134876,COMPLETE,0:00:09.824494,0.0012785698332329802,45,55,27,43,0.10142822188069306,1.6436820259164255
84,2.383266139721525,PRUNED,0:00:00.267038,0.0014220098726815422,86,94,95,46,0.45097403377595063,1.6480502443014882
85,0.41931056695571844,PRUNED,0:00:05.277127,0.0011115232814652696,43,170,116,74,0.5134084519069064,1.8395098201171296
86,2.2311311774783666,PRUNED,0:00:00.332813,0.001177365041697383,44,55,27,43,0.5215349174207169,1.7857741545907555
87,2.1735112627870157,PRUNED,0:00:00.408131,0.0010840187804492694,39,52,114,26,0.49900150374207936,1.792455722719107
88,2.1640158790937614,PRUNED,0:00:00.363098,0.0007613717055096277,42,167,25,35,0.3969115474082364,1.521981662472753
89,0.005528460401183665,COMPLETE,0:00:18.133745,0.0030715451738913854,20,43,117,28,0.5012444083697298,1.4554356466723049
