trial_number,value,state,duration,lr,batch_size
418,0.9103493409345118,PRUNED,0:00:01.458491,0.0036218666655414393,26
419,0.18942425984859781,PRUNED,0:00:03.734828,0.008095286322782837,23
420,3.102614261858696,PRUNED,0:00:01.771796,0.00010150661068216087,23
421,0.28119147394638544,PRUNED,0:00:04.108040,0.007304374749024134,20
422,0.20230622035258475,PRUNED,0:00:04.239194,0.00777200656121944,19
423,0.23055169297167158,PRUNED,0:00:03.888068,0.0077321655357897815,19
424,0.8439334610964628,PRUNED,0:00:01.115688,0.007833572860463232,39
425,0.19101245835457648,PRUNED,0:00:03.884483,0.015729508098832827,20
426,0.13050674816457236,PRUNED,0:00:06.811094,0.005032755664246387,17
427,0.23293791454861626,PRUNED,0:00:04.210701,0.014990906667795676,19
428,0.23630234406488698,PRUNED,0:00:04.633919,0.004709105616524363,17
429,0.22976630456563904,PRUNED,0:00:04.134167,0.017714470450586193,17
430,0.9463671722934266,PRUNED,0:00:01.171224,0.004822146947586326,36
431,2.407497095735106,PRUNED,0:00:00.385293,0.004678385858519133,241
432,0.002854320510429512,COMPLETE,0:00:27.185885,0.0030938665933315343,16
433,0.7690974568079343,PRUNED,0:00:02.618003,0.0028206895613635524,15
434,0.27105331355070017,PRUNED,0:00:04.977484,0.0031104398441237505,14
435,1.0404679973099187,PRUNED,0:00:01.713394,0.0031095690902843663,24
436,0.1925306308799046,PRUNED,0:00:03.358760,0.006401728538450991,24
437,0.002966782759345359,COMPLETE,0:00:21.066351,0.006335271038593957,24
438,0.0033817990452107817,COMPLETE,0:00:20.134880,0.0063347982821694085,25
439,0.13834000819108702,PRUNED,0:00:03.501526,0.02118606034464128,36
440,0.8310275663112857,PRUNED,0:00:01.038131,0.009639752876579036,45
441,1.46501766623707,PRUNED,0:00:01.034437,0.0019300728877668849,40
442,1.6232298245333663,PRUNED,0:00:00.442724,0.013259887717945803,177
443,0.29634069684769443,PRUNED,0:00:02.549430,0.013531596620181724,34
444,0.820347929355229,PRUNED,0:00:01.168606,0.005950096645281936,34
445,0.7813923793252219,PRUNED,0:00:01.396179,0.00921943230323323,33
446,3.5547875849857635,PRUNED,0:00:01.274747,5.74876539488971e-05,31
447,0.803735210176073,PRUNED,0:00:01.504065,0.00466431324050342,28
448,0.8575414464477278,PRUNED,0:00:01.649808,0.004450170703139487,26
449,0.8466603149689079,PRUNED,0:00:01.476316,0.00428777175174074,26
450,0.7933239874843067,PRUNED,0:00:01.668109,0.004114825548499789,24
451,0.002625394754054901,COMPLETE,0:00:21.294122,0.006480101364085071,23
452,0.10158689535044209,PRUNED,0:00:09.989136,0.006353990023278039,22
453,0.18629215398218513,PRUNED,0:00:03.438857,0.006395258996265558,23
454,0.14319508911441425,PRUNED,0:00:11.594427,0.009285379126687933,9
455,0.8678403284235541,PRUNED,0:00:01.092724,0.008934142140289434,43
456,0.7775528768506808,PRUNED,0:00:04.504446,0.001544342031168286,8
457,0.26643590755329644,PRUNED,0:00:07.990875,0.002683486755818242,9
458,0.09830071950669993,PRUNED,0:00:21.478545,0.0024058083634620935,9
459,0.0028530200631320013,COMPLETE,0:00:40.068239,0.0022312658123616624,10
460,0.2739161067771408,PRUNED,0:00:08.873769,0.002089495280261581,8
461,0.11656631330131656,PRUNED,0:00:13.167933,0.0032101710756671734,11
462,0.19016933073080167,PRUNED,0:00:04.961954,0.003467167110639014,16
463,0.86902679920306,PRUNED,0:00:02.336961,0.0021500358048427903,16
464,0.9986244111883739,PRUNED,0:00:02.176277,0.001963219006479111,18
