trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order,lambda1_metaweight
353,0.8699766337259175,PRUNED,0:00:00.867915,0.0016332953399650209,22,3,2,1.3964524114858297
354,0.30495079887472615,PRUNED,0:00:06.794682,0.0014586648296500463,9,3,2,1.3684721698176918
355,1.09115557587424,PRUNED,0:00:00.685091,0.0012729742008213913,30,3,2,0.5457813533258806
356,0.26261771720397725,PRUNED,0:00:06.358169,0.003760061293513077,15,3,2,1.3913236461447316
357,0.2823383207570524,PRUNED,0:00:07.243080,0.0034748569992145814,10,3,2,0.7223071477778774
358,0.006014526108329451,COMPLETE,0:00:33.163908,0.0033001006256552366,23,3,2,1.3906416528952572
359,1.3748703143813394,PRUNED,0:00:00.244347,0.0037985944846730627,118,3,2,1.403619898417318
360,0.25057963277235,PRUNED,0:00:12.718054,0.0032703812051044943,10,3,2,0.7221295316280845
361,1.0054935628814357,PRUNED,0:00:00.904536,0.0013121836267609573,23,3,2,0.7253088473890322
362,0.2998983127792843,PRUNED,0:00:06.043374,0.0016629213242914589,9,3,2,1.381146066345395
363,0.2527217660151443,PRUNED,0:00:09.623834,0.0016920316838644675,9,3,2,1.3493189626888793
364,0.30244796794085277,PRUNED,0:00:05.726186,0.0016808289888551565,9,3,2,1.3555974505495794
365,0.8588234922533369,PRUNED,0:00:00.816162,0.0021532084131900553,25,3,2,0.6976826012739827
366,0.3001037583460469,PRUNED,0:00:03.185554,0.005747713756235586,19,3,2,1.3583886263453446
367,1.0016521736516715,PRUNED,0:00:00.975726,0.001186481487129271,20,3,2,0.7606212779387752
368,0.35103235519849335,PRUNED,0:00:01.280424,0.006613861461419352,33,3,2,1.3579126108549227
369,0.2727349865347592,PRUNED,0:00:06.182266,0.005901103129015716,16,3,2,1.352793900549017
370,1.0302845159302587,PRUNED,0:00:00.758231,0.0013334525707956015,28,3,2,0.7042174649619631
371,1.7814695036929586,PRUNED,0:00:00.796454,2.2025014230526082e-06,28,3,2,1.2538165906016456
372,0.8304595356045464,PRUNED,0:00:00.995051,0.0030809302918650932,26,3,2,0.6669779245290439
373,0.005552823559870822,COMPLETE,0:00:40.098167,0.0030781013948322413,17,3,2,0.6610955426762457
374,0.19462292511311788,PRUNED,0:00:30.672754,0.003083256593390341,17,3,2,1.4979156285529889
375,0.9787963986712158,PRUNED,0:00:01.600967,0.0010932703497218887,17,3,2,1.441908014272591
376,0.3537457844331151,PRUNED,0:00:03.488532,0.009067172029492688,17,3,2,1.399002405987399
377,0.3481213398677208,PRUNED,0:00:03.667710,0.0021908385608463282,15,3,2,1.406815399666993
378,0.25886185860184774,PRUNED,0:00:05.962296,0.002158349401309134,22,3,2,0.7582854948482426
379,0.2518249881131197,PRUNED,0:00:08.939689,0.004592076231501088,21,3,2,1.3777781567461436
380,0.9393465574483694,PRUNED,0:00:01.401248,0.0013777688385383494,20,3,2,1.1163162672122215
381,0.23189146232371236,PRUNED,0:00:11.978852,0.0043002238621955725,21,3,2,1.3758368658819766
382,0.26288558986237454,PRUNED,0:00:14.016838,0.00280712832085594,8,3,2,0.7649299514909205
383,0.9239287809555575,PRUNED,0:00:00.664056,0.0028857804812221087,40,3,2,1.3765141294563135
384,0.4103672133983016,PRUNED,0:00:05.893724,0.0009216381703729068,9,3,2,1.456758323180356
385,0.8192213942038167,PRUNED,0:00:02.890960,0.0008082317823790155,8,3,2,0.7365139801936331
386,0.26931921975828643,PRUNED,0:00:18.319334,0.0011308757242943898,4,3,2,1.4909430958321468
387,1.2120093432154186,PRUNED,0:00:04.397433,0.019303970168921387,4,3,2,1.3159925429443307
388,0.3017774713533011,PRUNED,0:00:13.047749,0.0014226796494743615,4,3,2,1.3168396416265455
389,0.26815541584977176,PRUNED,0:00:16.783788,0.0013896551284867727,4,3,2,1.335873445623324
390,0.8619534212809342,PRUNED,0:00:01.325216,0.0011985394486172774,13,2,2,0.6147875143055066
391,0.884209550868452,PRUNED,0:00:01.250955,0.0011572252483007348,14,2,2,0.792092712376961
392,1.041157290721551,PRUNED,0:00:00.626979,0.0015550464079894684,33,3,2,1.4924263641466897
393,1.1666024077883412,PRUNED,0:00:01.266420,0.0005870562837846362,15,3,2,0.6853242331080353
394,0.2071944169426432,PRUNED,0:01:10.171493,0.001891921904239296,4,3,2,0.6976093871266758
395,0.2750601885991604,PRUNED,0:00:07.825535,0.0018979778092674392,9,3,2,0.730181356150391
396,0.25086142121817673,PRUNED,0:00:28.902020,0.0019988307816287596,4,3,2,0.7090505306711214
397,0.3103081122332928,PRUNED,0:00:03.171460,0.0019988180556030047,18,3,2,1.269466126254712
398,0.9405979172271841,PRUNED,0:00:00.746615,0.0020353843651281364,27,3,2,0.716975309083549
399,1.0984906041867113,PRUNED,0:00:00.914112,0.0008891681425307636,22,3,2,1.2729690891903753
400,0.22780182126622933,PRUNED,0:00:08.031448,0.0025046063372842664,19,3,2,1.3338290104289339
401,1.3950088147133115,PRUNED,0:00:01.092649,0.0002845500141479263,17,3,2,1.3388473504711351
