trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order
371,0.1166541504232507,PRUNED,0:00:00.998125,0.02533009395100807,199,3,2
372,1.4511686118025529,PRUNED,0:00:00.510754,0.0010178285131486032,200,3,2
373,1.8226972688542735,PRUNED,0:00:00.522812,3.3058343148694746e-06,187,3,2
374,0.6945051766268098,PRUNED,0:00:00.516577,0.010797491751343546,187,3,2
375,0.6694947575854364,PRUNED,0:00:00.552391,0.011247259040787537,177,3,2
376,0.06710185684884588,PRUNED,0:00:01.743713,0.017549340835766827,158,3,2
377,0.043173158168792726,PRUNED,0:00:02.973464,0.017175578454338505,173,3,2
378,0.003893760330182955,COMPLETE,0:00:22.230554,0.018216394274699784,109,3,2
379,1.8202907204627992,PRUNED,0:00:00.474844,3.8698204221570415e-05,212,3,2
380,0.0046140185271275535,COMPLETE,0:01:36.846247,0.003307585985463792,12,3,2
381,1.080244578745054,PRUNED,0:00:00.466976,0.003681717912108581,207,3,2
382,1.1201596649793477,PRUNED,0:00:00.434854,0.004162367921345797,245,3,2
383,0.004118967491073734,COMPLETE,0:01:48.454957,0.003388066341935105,10,3,2
384,0.004106263384440843,COMPLETE,0:00:43.707185,0.0034378733819175715,31,3,2
385,1.0769227048871237,PRUNED,0:00:00.657819,0.0015678291514123108,106,3,2
386,0.003205607733209303,COMPLETE,0:00:55.593222,0.002114163438310607,23,3,2
387,0.0033730477535594047,COMPLETE,0:00:39.554921,0.005458803722593206,37,3,2
388,0.044744413977457306,PRUNED,0:00:04.039956,0.019687734056121942,107,3,2
389,0.8008247214119609,PRUNED,0:00:00.490852,0.012944373232191143,232,3,2
390,0.07355814977641971,PRUNED,0:00:24.998698,0.012731851908699623,6,3,2
391,0.04406176976824835,PRUNED,0:00:12.477729,0.008632870044595042,22,3,2
392,0.06670011340056435,PRUNED,0:00:19.663005,0.013054866454992193,8,3,2
393,1.110268280132493,PRUNED,0:00:00.609179,0.0021237959872739427,141,3,2
394,0.043512456852292256,PRUNED,0:00:09.387378,0.012795050706501753,30,3,2
395,0.762489607653667,PRUNED,0:00:00.521007,0.009328180620785777,195,3,2
396,0.05790246404707432,PRUNED,0:00:04.245008,0.013752589787495087,42,3,2
397,0.042657601993438626,PRUNED,0:00:03.489204,0.015259779836684206,157,3,2
398,0.06011829803317365,PRUNED,0:00:04.886304,0.01620144810024811,38,3,2
